CounterReadingID;CounterID_ASTA;SequenceNumber;StartTime;EndTime;Visits;ASTA_Counters.CounterID_PAVE;ASTA_Counters.Name_ASTA;ASTA_Counters.InstallationDate;ASTA_Counters.NationalParkCode;ASTA_Counters.Municipality;ASTA_Counters.RegionalUnit;ASTA_Counters.RegionalEntity;PAVE_Counters.Globalid;PAVE_Counters.Name;PAVE_Counters.Manager;PAVE_Counters.AdditionalInfo;PAVE_Counters.CoordinateNorth;PAVE_Counters.CoordinateEast
263398;1099;57;21/07/2013 20:00;21/07/2013 21:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263399;1099;58;21/07/2013 21:00;21/07/2013 22:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263400;1099;59;21/07/2013 22:00;21/07/2013 23:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263401;1099;60;21/07/2013 23:00;22/07/2013 00:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263402;1099;61;22/07/2013 00:00;22/07/2013 01:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263403;1099;62;22/07/2013 01:00;22/07/2013 02:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263404;1099;63;22/07/2013 02:00;22/07/2013 03:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263405;1099;64;22/07/2013 03:00;22/07/2013 04:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263406;1099;65;22/07/2013 04:00;22/07/2013 05:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263407;1099;66;22/07/2013 05:00;22/07/2013 06:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263408;1099;67;22/07/2013 06:00;22/07/2013 07:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263409;1099;68;22/07/2013 07:00;22/07/2013 08:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263411;1099;70;22/07/2013 09:00;22/07/2013 10:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263414;1099;73;22/07/2013 12:00;22/07/2013 13:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263419;1099;78;22/07/2013 17:00;22/07/2013 18:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263421;1099;80;22/07/2013 19:00;22/07/2013 20:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263422;1099;81;22/07/2013 20:00;22/07/2013 21:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263423;1099;82;22/07/2013 21:00;22/07/2013 22:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263424;1099;83;22/07/2013 22:00;22/07/2013 23:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263425;1099;84;22/07/2013 23:00;23/07/2013 00:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263426;1099;85;23/07/2013 00:00;23/07/2013 01:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263427;1099;86;23/07/2013 01:00;23/07/2013 02:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263428;1099;87;23/07/2013 02:00;23/07/2013 03:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263429;1099;88;23/07/2013 03:00;23/07/2013 04:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263430;1099;89;23/07/2013 04:00;23/07/2013 05:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263431;1099;90;23/07/2013 05:00;23/07/2013 06:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263432;1099;91;23/07/2013 06:00;23/07/2013 07:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263433;1099;92;23/07/2013 07:00;23/07/2013 08:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
